Symbol,Date,Closing_Price,Highest_Price,Lowest_Price,Num_Transactions,Open_Price,Volume,Average_Price
GIS,2023-01-09,84.68,85.87,84.68,31848,85.24,3010699.0,85.0639
GM,2023-01-09,35.92,36.84,35.845,81321,36.53,11617948.0,36.2244
GPC,2023-01-09,170.41,173.035,170.23,19116,171.27,874142,171.1371
GILD,2023-01-09,85.1,87.9,84.95,64466,87.77,5435709.0,85.9106
GL,2023-01-09,120.28,123.15,119.99,12762,122.51,627398,121.159
GPN,2023-01-09,106.46,107.61,104.97,23967,105.21,1448307.0,106.4286
GS,2023-01-09,353,356.5,349.5,44305,351.88,1989134.0,353.4816
GWW,2023-01-09,557.63,572.16,553.85,11711,556.75,293515,562.8264
HRB,2023-01-09,36.14,36.955,35.77,21299,36.69,1722865.0,36.1932
HAL,2023-01-09,40.44,41.655,40.2678,77144,40.91,13191722.0,40.6444
HBI,2023-01-09,7.64,7.73,7.365,44916,7.42,11291036.0,7.6092
HIG,2023-01-09,76.85,78.57,76.7,28896,78.34,2119495.0,77.4381
HAS,2023-01-09,63.7,64.94,63.565,25312,64.89,1193794.0,64.0416
HCA,2023-01-09,249.79,255.44,249.435,25899,254.09,1544344.0,251.264
PEAK,2023-01-09,26.27,26.74,26.27,25439,26.64,3552727.0,26.4036
HSIC,2023-01-09,80.53,82.25,80.25,14089,81.81,725380,80.913
HSY,2023-01-09,225.39,227.93,224.1,22838,225.02,884018,226.2063
HES,2023-01-09,144.22,147.35,143.58,36660,146.68,1818500.0,144.9835
HPE,2023-01-09,16.96,17.25,16.89,62732,17.1,19294712.0,17.0728
HLT,2023-01-09,129.08,130.86,128.87,35001,128.89,2005904.0,129.4817
HOLX,2023-01-09,79.79,81.97,78.565,44160,79.58,2905373.0,80.2363
HD,2023-01-09,317.81,322.5499,317.06,60402,320,3466267.0,319.1714
